Review_new	Positive	Negative
all in all i can assure you ill be back.	1	-2
i hate those things as much as cheap quality black olives.	1	-4
my breakfast was perpared great with a beautiful presentation of  giant slices of toast lightly dusted with powdered sugar.	3	-1
the kids play area is nasty.	1	-3
great place fo take out or eat in.	3	-1
the waitress was friendly and happy to accomodate for veganveggie options.	2	-1
omg i felt like i had never eaten thai food until this dish.	2	-1
it was extremely crumby and pretty tasteless.	3	-1
it was a pale color instead of nice and char and has no flavor.	2	-1
the croutons also taste homemade which is an extra plus.	1	-1
i got home to see the driest damn wings ever.	1	-2
itll be a regular stop on my trips to phoenix.	1	-1
i really enjoyed crema caf before they expanded i even told friends they had the best breakfast.	4	-1
not good for the money.	1	-2
i miss it and wish they had one in philadelphia.	2	-2
we got sitting fairly fast but ended up waiting  minutes just to place our order another  minutes before the food arrived.	1	-1
they also have the best cheese crisp in town.	2	-1
good value great food great service.	3	-1
couldnt ask for a more satisfying meal.	2	-1
the food is good.	2	-1
it was awesome.	3	-1
i just wanted to leave.	1	-1
we made the drive all the way from north scottsdale and i was not one bit disappointed.	1	-2
i will not be eating there again.	1	-1
the owners really really need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one.	2	-2
i checked out this place a couple years ago and was not impressed.	1	-2
the chicken i got was definitely reheated and was only ok the wedges were cold and soggy.	1	-2
sorry i will not be getting food from here anytime soon .	1	-2
an absolute must visit.	1	-1
the cow tongue and cheek tacos are amazing.	3	-1
my friend did not like his bloody mary.	2	-2
despite how hard i rate businesses its actually rare for me to give a  star.	1	-1
they really want to make your experience a good one.	2	-1
i will not return.	1	-1
i had the chicken pho and it tasted very bland.	1	-3
very disappointing.	1	-3
the grilled chicken was so tender and yellow from the saffron seasoning.	3	-1
a drive thru means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait.	1	-1
pretty awesome place.	4	-1
ambience is perfect.	2	-1
best of luck to the rude and noncustomer service focused new management.	3	-3
any grandmother can make a roasted chicken better than this one.	1	-1
i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself.	1	-1
the staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby.	3	-1
four stars for the food  the guy in the blue shirt for his great vibe  still letting us in to eat .	3	-1
the roast beef sandwich tasted really good.	3	-1
same evening him and i are both drastically sick.	1	-2
highquality chicken on the chicken caesar salad.	1	-1
ordered burger rare came in well done.	1	-1
we were promptly greeted and seated.	1	-1
tried to go here for lunch and it was a madhouse.	1	-1
i was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable.	3	-3
after waiting an hour and being seated i was not in the greatest of moods.	3	-1
this is a good joint.	2	-1
the macarons here are insanely good.	2	-1
im not eating here.	1	-1
our waiter was very attentive friendly and informative.	2	-1
maybe if they werent cold they would have been somewhat edible.	1	-2
this place has a lot of promise but fails to deliver.	2	-3
very bad experience.	1	-3
what a mistake.	1	-2
food was average at best.	2	-1
great food.	3	-1
we wont be going back anytime soon.	1	-1
very very disappointed ordered the  big bay plater.	1	-3
great place to relax and have an awesome burger and beer.	3	-1
it is perfect for a sitdown family meal or get together with a few friends.	2	-1
not much flavor to them and very poorly constructed.	1	-3
the patio seating was very comfortable.	3	-1
the fried rice was dry as well.	1	-1
hands down my favorite italian restaurant.	2	-1
that just screams legit in my booksomethats also pretty rare here in vegas.	3	-3
it was just not a fun experience.	1	-2
the atmosphere was great with a lovely duo of violinists playing songs we requested.	3	-1
i personally love the hummus pita baklava falafels and baba ganoush its amazing what they do with eggplant.	3	-1
very convenient since we were staying at the mgm.	1	-1
the owners are super friendly and the staff is courteous.	3	-1
both great.	3	-1
eclectic selection.	1	-1
the sweet potato tots were good but the onion rings were perfection or as close as i have had.	2	-1
the staff was very attentive.	1	-1
and the chef was generous with his time even came around twice so we can take pictures with him.	2	-1
the owner used to work at nobu so this place is really similar for half the price.	1	-1
google mediocre and i imagine smashburger will pop up.	1	-2
dont go here.	1	-1
i promise they wont disappoint.	2	-1
as a sushi lover avoid this place by all means.	4	-2
what a great double cheeseburger.	3	-1
awesome service and food.	3	-1
a fantastic neighborhood gem .	3	-1
i cant wait to go back.	1	-1
the plantains were the worst ive ever tasted.	1	-3
its a great place and i highly recommend it.	3	-1
service was slow and not attentive.	1	-1
i gave it  stars then and im giving it  stars now.	1	-1
your staff spends more time talking to themselves than me.	1	-1
dessert panna cotta was amazing.	3	-1
very good food great atmosphere.	3	-1
damn good steak.	2	-2
total brunch fail.	1	-3
prices are very reasonable flavors are spot on the sauce is home made and the slaw is not drenched in mayo.	1	-1
the decor is nice and the piano music soundtrack is pleasant.	3	-1
the steak was amazingrge fillet relleno was the best seafood plate i have ever had.	3	-1
good food  good service .	2	-1
it was absolutely amazing.	4	-1
i probably wont be back to be honest.	1	-1
will definitely be back.	1	-1
the sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.	4	-1
hawaiian breeze mango magic and pineapple delight are the smoothies that ive tried so far and theyre all good.	3	-1
went for lunch  service was slow.	1	-1
we had so much to say about the place before we walked in that he expected it to be amazing but was quickly disappointed.	3	-2
i was mortified.	1	-3
needless to say we will never be back here again.	1	-1
anyways the food was definitely not filling at all and for the price you pay you should expect more.	1	-1
the chips that came out were dripping with grease and mostly not edible.	1	-1
i wasnt really impressed with strip steak.	3	-1
have been going since  and every meal has been awesome.	3	-1
our server was very nice and attentive as were the other serving staff.	3	-1
the cashier was friendly and even brought the food out to me.	2	-1
i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer.	4	-2
the atmosphere here is fun.	2	-1
would not recommend to others.	1	-1
service is quick and even to go orders are just like we like it.	2	-1
i mean really how do you get so famous for your fish and chips when its so terrible.	1	-4
that said our mouths and bellies were still quite pleased.	2	-1
not my thing.	1	-1
 thumbs up.	1	-1
if you are reading this please dont go there.	2	-1
i loved the grilled pizza reminded me of legit italian pizza.	4	-1
only pros  large seating area nice bar area great simple drink menu the best brick oven pizza with homemade dough.	3	-1
they have a really nice atmosphere.	3	-1
tonight i had the elk filet specialand it sucked.	2	-2
after one bite i was hooked.	1	-1
we ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.	1	-2
cute quaint simple honest.	2	-1
the chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.	3	-1
the food was great as always compliments to the chef.	3	-1
special thanks to dylan t for the recommendation on what to order  all yummy for my tummy.	2	-1
awesome selection of beer.	3	-1
great food and awesome service.	3	-1
one nice thing was that they added gratuity on the bill since our party was larger than  or  and they didnt expect more tip than that.	2	-1
a fly was in my apple juice a fly.	1	-1
the han nan chicken was also very tasty.	1	-1
as for the service i thought it was good.	2	-1
the food was barely lukewarm so it must have been sitting waiting for the server to bring it out to us.	1	-1
ryans bar is definitely one edinburgh establishment i wont be revisiting.	1	-1
nicest chinese restaurant ive been in a while.	2	-1
overall i like there food and the service.	2	-1
they also now serve indian naan bread with hummus and some spicy pine nut sauce that was out of this world.	1	-1
probably never coming back and wouldnt recommend it.	1	-1
friends pasta  also bad he barely touched it.	2	-2
try them in the airport to experience some tasty food and speedy friendly service.	2	-1
i love the decor with the chinese calligraphy wall paper.	3	-1
never had anything to complain about here.	1	-2
the restaurant is very clean and has a family restaurant feel to it.	1	-1
it was way over fried.	1	-1
im not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.	1	-2
when i opened the sandwich i was impressed but not in a good way.	2	-1
will not be back.	1	-1
there was a warm feeling with the service and i felt like their guest for a special treat.	2	-1
an extensive menu provides lots of options for breakfast.	1	-1
i always order from the vegetarian menu during dinner which has a wide array of options to choose from.	1	-1
i have watched their prices inflate portions get smaller and management attitudes grow rapidly.	1	-1
wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.	3	-1
i got to enjoy the seafood salad with a fabulous vinegrette.	3	-1
the wontons were thin not thick and chewy almost melt in your mouth.	1	-1
level  spicy was perfect where spice didnt overwhelm the soup.	2	-3
we were sat right on time and our server from the get go was fantastic.	3	-1
main thing i didnt enjoy is that the crowd is of older crowd around mid s and up.	3	-1
when im on this side of town this will definitely be a spot ill hit up again.	1	-2
i had to wait over  minutes to get my drink and longer to get  arepas.	1	-1
this is a great place to eat.	3	-1
the jalapeno bacon is soooo good.	2	-1
the service was poor and thats being nice.	2	-2
food was good service was good prices were good.	2	-1
the place was not clean and the food oh so stale.	1	-2
the chicken dishes are ok the beef is like shoe leather.	2	-1
but the service was beyond bad.	1	-2
im so happy to be here.	2	-1
tasted like dirt.	2	-2
one of the few places in phoenix that i would definately go back to again .	1	-1
the block was amazing.	3	-2
its close to my house its lowkey nonfancy affordable prices good food.	2	-2
 both the hot  sour  the egg flower soups were absolutely  stars.	1	-2
my sashimi was poor quality being soggy and tasteless.	1	-2
great time  family dinner on a sunday night.	3	-1
the food is not tasty at all not to say its real traditional hunan style.	1	-1
what did bother me was the slow service.	1	-1
the flair bartenders are absolutely amazing.	4	-1
their frozen margaritas are way too sugary for my taste.	1	-1
these were so good we ordered them twice.	2	-1
so in a nutshell  the restaraunt smells like a combination of a dirty fish market and a sewer.	2	-2
my girlfriends veal was very bad.	1	-3
unfortunately it was not good.	1	-2
i had a pretty satifying experience.	3	-1
join the club and get awesome offers via email.	3	-1
perfect for someone me who only likes beer ice cold or in this case even colder.	3	-2
bland and flavorless is a good way of describing the barely tepid meat.	2	-2
the chains which im no fan of beat this place easily.	1	-1
the nachos are a must have.	1	-1
we will not be coming back.	1	-1
i dont have very many words to say about this place but it does everything pretty well.	3	-1
the staff is super nice and very quick even with the crazy crowds of the downtown juries lawyers and court staff.	3	-2
great atmosphere friendly and fast service.	3	-1
when i received my pita it was huge it did have a lot of meat in it so thumbs up there.	1	-1
once your food arrives its meh.	1	-1
paying  for a hot dog and fries that looks like it came out of a kids meal at the wienerschnitzel is not my idea of a good meal.	2	-1
the classic maine lobster roll was fantastic.	3	-1
my brother in law who works at the mall ate here same day and guess what he was sick all night too.	1	-2
so good i am going to have to review this place twice  once hereas a tribute to the place and once as a tribute to an event held here last night.	2	-1
the chips and salsa were really good the salsa was very fresh.	3	-1
this place is great.	3	-1
mediocre food.	1	-2
once you get inside youll be impressed with the place.	2	-1
im super pissd.	3	-3
and service was super friendly.	3	-1
why are these sad little vegetables so overcooked.	1	-4
this place was such a nice surprise.	2	-1
they were goldencrispy and delicious.	3	-1
i had high hopes for this place since the burgers are cooked over a charcoal grill but unfortunately the taste fell flat way flat.	2	-2
i could eat their bruschetta all day it is devine.	1	-1
not a single employee came out to see if we were ok or even needed a water refill once they finally served us our food.	1	-1
lastly the mozzarella sticks they were the best thing we ordered.	2	-1
the first time i ever came here i had an amazing experience i still tell people how awesome the duck was.	3	-1
the server was very negligent of our needs and made us feel very unwelcome i would not suggest this place.	1	-4
the service was terrible though.	1	-4
this place is overpriced not consistent with their boba and it really is overpriced.	1	-1
it was packed.	1	-1
i love this place.	3	-1
i can say that the desserts were yummy.	1	-1
the food was terrible.	1	-4
the seasonal fruit was fresh white peach puree.	1	-1
it kept getting worse and worse so now im officially done.	1	-3
this place should honestly be blown up.	1	-1
but i definitely would not eat here again.	1	-1
do not waste your money here.	2	-1
i love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.	3	-1
the crpe was delicate and thin and moist.	1	-1
awful service.	1	-4
wont ever go here again.	1	-1
food quality has been horrible.	1	-4
for that price i can think of a few place i would have much rather gone.	1	-1
the service here is fair at best.	2	-1
i do love sushi but i found kabuki to be overpriced overhip and underservices.	3	-1
do yourself a favor and stay away from this dish.	2	-1
very poor service.	1	-3
no one at the table thought the food was above average or worth the wait that we had for it.	1	-1
best service and food ever maria our server was so good and friendly she made our day.	2	-1
they were excellent.	4	-1
i paid the bill but did not tip because i felt the server did a terrible job.	1	-4
just had lunch here and had a great experience.	3	-1
i have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.	1	-2
food is way overpriced and portions are fucking small.	1	-1
i recently tried caballeros and i have been back every week since.	1	-1
for  bucks a head i really expect better food.	1	-1
the food came out at a good pace.	2	-1
i ate there twice on my last visit and especially enjoyed the salmon salad.	4	-1
i wont be back.	1	-1
we could not believe how dirty the oysters were.	1	-2
this place deserves no stars.	1	-1
i would not recommend this place.	1	-1
in fact im going to round up to  stars just because she was so awesome.	3	-1
to my disbelief each dish qualified as the worst version of these foods i have ever tasted.	1	-3
bad day or not i have a very low tolerance for rude customer service people it is your job to be nice and polite wash dishes otherwise.	2	-3
the potatoes were great and so was the biscuit.	3	-1
i probably would not go here again.	1	-1
so flavorful and has just the perfect amount of heat.	2	-1
the price is reasonable and the service is great.	3	-1
the wife hated her meal coconut shrimp and our friends really did not enjoy their meals either.	2	-4
my fella got the huevos rancheros and they didnt look too appealing.	1	-1
went in for happy hour great list of wines.	3	-1
some may say this buffet is pricey but i think you get what you pay for and this place you are getting quite a lot.	1	-1
i probably wont be coming back here.	1	-1
worst foodservice ive had in a while.	1	-3
this place is pretty good nice little vibe in the restaurant.	3	-1
talk about great customer service of course we will be back.	3	-1
hot dishes are not hot cold dishes are close to room tempi watched staff prepare food with bare hands no gloveseverything is deep fried in oil.	2	-1
i love their fries and their beans.	3	-1
always a pleasure dealing with him.	3	-1
they have a plethora of salads and sandwiches and everything ive tried gets my seal of approval.	1	-1
this place is awesome if you want something light and healthy during the summer.	3	-1
for sushi on the strip this is the place to go.	1	-1
the service was great even the manager came and helped with our table.	3	-1
the feel of the dining room was more college cooking course than high class dining and the service was slow at best.	2	-1
i started this review with two stars but im editing it to give it only one.	1	-1
this is the worst sushi i have ever eat besides costcos.	1	-3
all in all an excellent restaurant highlighted by great service a unique menu and a beautiful setting.	4	-1
my boyfriend and i sat at the bar and had a completely delightful experience.	4	-1
weird vibe from owners.	1	-2
there was hardly any meat.	1	-1
ive had better bagels from the grocery store.	1	-1
go to place for gyros.	1	-1
i love the ownerchef his one authentic japanese cool dude.	3	-1
now the burgers arent as good the pizza which used to be amazing is doughy and flavorless.	3	-2
i found a six inch long piece of wire in my salsa.	1	-1
the service was terrible food was mediocre.	1	-4
we definately enjoyed ourselves.	3	-1
i ordered albondigas soup  which was just warm  and tasted like tomato soup with frozen meatballs.	2	-1
on three different occasions i asked for well done or medium well and all three times i got the bloodiest piece of meat on my plate.	1	-1
i had about two bites and refused to eat anymore.	1	-2
the service was extremely slow.	1	-1
after  minutes wait i got a table.	1	-1
seriously killer hot chai latte.	1	-2
no allergy warnings on the menu and the waitress had absolutely no clue as to which meals did or did not contain peanuts.	1	-1
my boyfriend tried the mediterranean chicken salad and fell in love.	3	-1
their rotating beers on tap is also a highlight of this place.	1	-1
pricing is a bit of a concern at mellow mushroom.	1	-2
worst thai ever.	1	-3
if you stay in vegas you must get breakfast here at least once.	1	-1
i want to first say our server was great and we had perfect service.	3	-1
the pizza selections are good.	2	-1
i had strawberry tea which was good.	2	-1
highly unprofessional and rude to a loyal patron.	2	-3
overall a great experience.	3	-1
spend your money elsewhere.	1	-1
their regular toasted bread was equally satisfying with the occasional pats of butter mmmm.	2	-1
the buffet at bellagio was far from what i anticipated.	1	-1
and the drinks are weak people.	1	-2
my order was not correct.	1	-1
also i feel like the chips are bought not made in house.	2	-1
after the disappointing dinner we went elsewhere for dessert.	1	-2
the chips and sals a here is amazing.	3	-1
we wont be returning.	1	-1
this is my new fav vegas buffet spot.	1	-1
i seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.	2	-1
very very sad.	1	-5
i felt insulted and disrespected how could you talk and judge another human being like that.	2	-3
how can you call yourself a steakhouse if you cant properly cook a steak i dont understand.	1	-1
im not impressed with the concept or the food.	1	-2
the only thing i wasnt too crazy about was their guacamole as i dont like it pured.	1	-2
there is really nothing for me at postinos hope your experience is better.	3	-1
i got food poisoning here at the buffet.	1	-3
they brought a fresh batch of fries and i was thinking yay something warm but no.	2	-1
what should have been a hilarious yummy christmas eve dinner to remember was the biggest fail of the entire trip for us.	3	-3
needless to say i wont be going back anytime soon.	1	-1
this place is disgusting.	1	-4
every time i eat here i see caring teamwork to a professional degree.	3	-1
the ri style calamari was a joke.	2	-1
however there was so much garlic in the fondue it was barely edible.	1	-1
i could barely stomach the meal but didnt complain because it was a business lunch.	1	-2
it was so bad i had lost the heart to finish it.	1	-2
it also took her forever to bring us the check when we asked for it.	1	-1
we arent ones to make a scene at restaurants but i just dont get itdefinitely lost the love after this one.	3	-1
disappointing experience.	1	-2
the food is about on par with dennys which is to say not good at all.	1	-2
if you want to wait for mediocre food and downright terrible service then this is the place for you.	1	-4
waaaaaayyyyyyyyyy over rated is all i am saying.	2	-1
we wont be going back.	1	-1
the place was fairly clean but the food simply wasnt worth it.	1	-1
this place lacked style.	1	-1
the sangria was about half of a glass wine full and was  ridiculous.	1	-3
dont bother coming here.	2	-1
the meat was pretty dry i had the sliced brisket and pulled pork.	3	-1
the building itself seems pretty neat the bathroom is pretty trippy but i wouldnt eat here again.	3	-1
it was equally awful.	1	-4
probably not in a hurry to go back.	1	-1
very slow at seating even with reservation.	1	-1
not good by any stretch of the imagination.	1	-2
the cashew cream sauce was bland and the vegetables were undercooked.	1	-2
the chipolte ranch dipping sause was tasteless seemed thin and watered down with no heat.	1	-1
it was a bit too sweet not really spicy enough and lacked flavor.	2	-1
i was very disappointed.	1	-3
this place is horrible and way overpriced.	1	-4
maybe its just their vegetarian fare but ive been twice and i thought it was average at best.	2	-1
it wasnt busy at all and now we know why.	1	-1
the tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.	2	-2
the ambiance here did not feel like a buffet setting but more of a douchey indoor garden for tea and biscuits.	1	-2
con spotty service.	1	-1
the fries were not hot and neither was my burger.	1	-1
but then they came back cold.	1	-2
then our food came out disappointment ensued.	1	-2
the real disappointment was our waiter.	1	-2
my husband said she was very rude did not even apologize for the bad food or anything.	1	-4
the only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.	1	-1
insults profound deuchebaggery and had to go outside for a smoke break while serving just to solidify it.	1	-3
if someone orders two tacos dont you think it may be part of customer service to ask if it is combo or ala cart.	1	-1
she was quite disappointed although some blame needs to be placed at her door.	1	-2
after all the rave reviews i couldnt wait to eat herewhat a disappointment.	1	-2
del taco is pretty nasty and should be avoided if possible.	3	-3
its not hard to make a decent hamburger.	1	-1
but i dont like it.	1	-2
hell no will i go back.	1	-2
weve have gotten a much better service from the pizza place next door than the services we received from this restaurant.	1	-1
i dont know what the big deal is about this place but i wont be back yaall.	1	-1
i immediately said i wanted to talk to the manager but i did not want to talk to the guy who was doing shots of fireball behind the bar.	1	-1
the ambiance isnt much better.	1	-1
unfortunately it only set us up for disapppointment with our entrees.	1	-2
the food wasnt good.	2	-1
your servers suck wait correction our server heimer sucked.	1	-2
what happened next was prettyoff putting.	1	-1
too bad cause i know its family owned i really wanted to like this place.	2	-2
overpriced for what you are getting.	1	-1
i vomited in the bathroom mid lunch.	1	-3
i kept looking at the time and it had soon become  minutes yet still no food.	1	-1
i have been to very few places to eat that under no circumstances would i ever return to and this tops the list.	1	-1
we started with the tuna sashimi which was brownish in color and obviously wasnt fresh.	1	-1
food was below average.	1	-1
it sure does beat the nachos at the movies but i would expect a little bit more coming from a restaurant.	1	-1
all in all ha long bay was a bit of a flop.	2	-1
the problem i have is that they charge  for a sandwich that is no bigger than a subway sub which offers better and more amount of vegetables.	1	-2
shrimp when i unwrapped it i live only  a mile from brushfire it was literally ice cold.	1	-2
it lacked flavor seemed undercooked and dry.	1	-1
it really is impressive that the place hasnt closed down.	2	-1
i would avoid this place if you are staying in the mirage.	1	-1
the refried beans that came with my meal were dried out and crusty and the food was bland.	1	-2
spend your money and time some place else.	1	-1
a lady at the table next to us found a live green caterpillar in her salad.	1	-1
the presentation of the food was awful.	1	-4
i cant tell you how disappointed i was.	1	-2
i think food should have flavor and texture and both were lacking.	1	-1
appetite instantly gone.	1	-1
overall i was not impressed and would not go back.	1	-2
the whole experience was underwhelming and i think well just go to ninja sushi next time.	1	-1
then as if i hadnt wasted enough of my life there they poured salt in the wound by drawing out the time it took to bring the check.	1	-2
